Mass,Retention Time,Frequency
191.1488,2.7482615,122
280.184,1.7525407,122
585.3028,1.8019098,122
791.5373,2.763541,122
129.0891,2.773968,122
273.1336,6.2732778,122
801.5235,1.3902788,122
428.223,3.4987786,122
127.0043,4.5622544,122
710.1842,2.9899344,122
762.0627,3.0246308,122
296.0876,7.1199985,121
564.5577,2.598934,121
700.3881,3.1932232,121
108.0192,3.4721408,121
160.1211,6.900233,121
187.1529,2.9767027,121
483.3028,1.5381323,121
866.2294,3.6576943,121
225.1556,1.6850415,121
148.02,4.836009,121
627.0848,3.046669,121
223.137,1.670678,121
490.0429,2.9891486,121
224.0073,2.6135511,120
489.2783,2.7016752,120
266.1324,2.1490827,120
391.9768,2.9963157,120
688.1912,3.068974,120
407.7902,3.3482606,119
283.1545,2.1293445,119
182.054,5.62553,119
344.9367,3.2155385,119
459.2684,1.8958907,119
202.0413,2.9509664,119
180.9509,3.289563,119
609.8328,3.2693794,119
267.0958,2.7224872,119
624.0717,3.0454035,119
486.1584,2.5633562,118
244.0736,6.430204,118
146.1056,6.462874,118
929.5414,2.0111861,118
363.0577,2.6021101,118
157.1406,2.788847,118
433.2238,2.4567204,118
889.6126,1.4104236,118
240.1473,6.3793826,118
931.8415,3.2856364,118
763.3743,2.2849154,118
173.1377,2.6108468,118
376.9025,3.2780006,117
406.1655,2.538488,117
836.557,6.255743,117
605.3258,6.193443,117
398.1574,4.3985724,117
157.9109,3.3875554,117
588.4431,1.3650599,117
653.0975,3.0572999,117
653.2192,2.452958,117
662.4479,1.3928032,117
526.1504,2.368359,117
327.0551,2.115724,116
137.1429,3.103198,116
424.1707,4.535474,116
272.0809,6.248706,116
926.2508,3.929605,116
473.2037,2.3399482,116
366.236,1.5344828,116
129.0403,2.3592072,116
429.8573,3.3022776,115
276.1337,6.3400335,115
388.0262,2.9960349,115
991.679,1.4052175,115
231.0052,2.9868526,115
374.0559,4.8264356,115
793.5399,2.405348,115
680.8481,3.2828345,115
217.1318,5.1119056,115
395.0103,2.989731,115
527.334,1.5826517,115
251.0961,4.800773,115
639.9094,3.286939,115
635.9622,1.4078175,115
61.0535,4.415235,115
230.1385,5.1417665,115
119.0914,3.7667005,114
625.807,3.2885885,114
800.3386,1.9743336,114
599.3814,1.5164385,114
963.6992,1.6172723,114
84.0527,1.4210356,114
629.4123,1.7059298,114
504.168,2.4052718,114
73.0171,4.7851486,114
625.0611,2.1580787,114
471.8642,3.4348602,114
240.9578,4.8226843,114
135.0547,1.8656753,114
897.1434,1.3742746,113
429.2632,1.7608232,113
729.5308,4.385416,113
313.211,1.8229734,113
974.7756,3.2908328,113
522.3343,6.2235923,113
441.3231,1.5883807,113
137.0832,2.7810695,113
267.1562,1.7674514,113
764.9021,3.2610621,113
559.0184,3.0044777,113
411.1948,4.4072404,112
339.2038,1.4387858,112
509.1268,3.6957853,112
136.1388,1.975223,112
149.1012,3.5930274,112
897.0402,3.023428,112
637.0014,3.007294,112
125.0949,5.200643,112
323.2067,7.2085266,112
364.9992,3.0073483,112
429.0541,5.6886077,112
463.0786,3.0684733,112
270.1086,1.6411608,112
244.0371,2.9833581,112
905.6669,1.6088398,112
308.2002,1.5654106,112
159.0237,3.0318387,112
369.0279,5.580379,111
122.0462,3.6584413,111
253.012,4.4354143,111
527.4433,1.334198,111
874.1727,3.0070634,111
217.1654,2.5825503,111
230.1224,3.1253421,111
335.0557,3.5124056,111
313.0136,2.9953327,111
831.5747,1.41027,111
446.0605,5.464442,111
324.1534,6.6243343,111
220.0985,1.4502976,111
235.0717,1.7419184,111
475.0876,4.357974,111
417.9291,3.3827212,111
339.0937,6.0610375,111
418.1998,6.0593953,111
710.6278,3.790225,111
113.0834,1.7012789,111
381.1767,2.807613,111
390.0224,4.8135,110
375.0868,3.520345,110
637.996,3.0091093,110
692.514,3.0143816,110
221.9764,3.4617536,110
212.0678,6.21861,110
952.6108,1.4011,110
483.1099,6.585901,110
453.2003,2.6671002,110
108.019,2.5071359,110
588.2076,3.5762737,110
367.2339,1.5317999,110
355.0642,3.0060635,110
230.0716,2.3062017,109
284.0441,2.980927,109
377.1094,4.779073,109
412.1064,3.5708537,109
497.3187,1.516413,109
531.2731,4.6707525,109
706.0752,3.0372937,109
551.3292,1.6846882,109
346.893,3.3315232,109
153.0158,3.179907,108
271.1655,6.8092017,108
159.1322,3.0698242,108
441.298,1.5212039,108
