Mass,Retention Time,Frequency
228.2088,1.4065117,129
668.4338,1.4072406,129
711.4837,1.4393103,129
926.2049,1.4371865,129
817.5838,2.1412792,129
399.1754,2.2414033,129
133.8743,2.4051397,129
663.0678,3.5755813,129
535.9962,4.0890694,129
170.0182,1.7721006,129
132.0531,4.803822,129
892.3622,1.3072811,128
634.4053,1.5538982,128
477.2849,1.5710858,128
135.0554,2.1474612,128
378.0944,2.4121647,128
748.2222,3.379813,128
921.0509,3.5029385,128
202.1539,5.6902027,128
175.9544,6.027586,128
306.0756,6.6718583,128
149.049,2.7181795,128
355.2703,1.4233981,128
914.2176,1.2420309,127
946.3639,1.328685,127
990.2184,1.4444488,127
495.2595,1.5158507,127
475.2688,1.5881969,127
976.2137,1.6220708,127
125.0157,2.2816062,127
175.0459,2.4214015,127
148.0361,2.4918897,127
791.2358,3.3028898,127
974.3428,4.9871116,127
129.0437,1.9881654,127
134.1206,4.7071495,127
149.0694,3.6751893,127
882.7094,1.2397459,126
752.2118,1.3199525,126
283.4009,1.3777376,126
519.2611,1.5063335,126
462.3199,2.1845634,126
270.0963,2.2445316,126
368.1458,5.7739677,126
426.0871,6.641871,126
285.1053,4.441198,126
192.0255,1.673192,125
193.0586,1.7345763,125
205.0392,2.2138557,125
941.815,3.9732802,125
165.0454,5.4541283,125
244.066,4.1646233,125
366.1281,4.540759,125
97.9679,4.7027845,125
755.3031,1.2988385,124
811.1979,1.4936934,124
214.0226,1.6826129,124
405.1156,2.197226,124
581.0644,3.5823715,124
628.0239,3.615161,124
116.0108,5.893985,124
758.1906,1.3199918,123
779.4737,1.4218374,123
205.9776,1.4516993,123
774.5314,1.4682124,123
230.1282,1.657626,123
262.0295,1.7842765,123
519.2602,2.155041,123
189.0615,2.6067557,123
142.2703,3.51335,123
253.053,3.5923011,123
429.0574,5.870178,123
347.0628,5.950307,123
192.0265,6.0133348,123
246.0508,2.488195,123
211.0505,4.2889185,123
299.1208,4.453252,123
329.0344,7.014253,123
739.3101,1.3036966,122
390.2002,1.4376967,122
174.015,1.6677948,122
144.005,1.7390736,122
294.0576,2.1566877,122
367.1164,2.2045817,122
348.0928,2.2066474,122
522.1779,2.4805825,122
1067.253,1.2721648,122
718.4783,1.3641402,121
561.3042,2.1326776,121
287.0688,2.398884,121
309.1056,2.7104206,121
676.9095,4.0101895,121
741.2537,4.3565392,121
356.1437,4.505016,121
481.0837,5.9740753,121
432.0427,5.95895,121
332.1204,7.120299,121
134.1204,6.2158175,121
727.5505,1.425289,121
246.0615,4.164686,121
1074.2452,1.2304918,120
835.3081,1.3090748,120
462.0421,1.3074334,120
730.1912,1.3117665,120
257.3794,1.3891919,120
219.074,1.6320252,120
228.0021,1.6609254,120
655.3336,2.1700416,120
596.3414,2.4057834,120
523.1889,2.5003,120
702.1975,3.282642,120
800.8993,4.0123334,120
402.1363,5.123244,120
324.0356,5.9293075,120
445.0394,5.9845333,120
328.2217,6.535226,120
146.2087,6.551158,120
118.0256,2.9100087,120
694.1761,1.3266556,119
1054.2301,1.4456894,119
168.0413,1.5639917,119
700.2259,2.648345,119
751.2372,4.3522267,119
255.0945,4.4447904,119
196.0572,4.36826,119
557.1705,5.3501506,119
175.0482,5.737545,119
214.0543,5.111848,119
282.2544,1.7466949,118
448.1466,2.1651268,118
746.3975,2.1561866,118
633.2104,2.666601,118
189.0645,5.808999,118
358.0047,5.9954762,118
